iter	MultiClass
0	1.071823071
1	1.048582128
2	1.0302267
3	1.015108994
4	1.002292095
5	0.9917890899
6	0.9829787151
7	0.9743940789
8	0.967667351
9	0.9611922078
10	0.9553597637
11	0.9503639233
12	0.9464843484
13	0.9426469767
14	0.9397041391
15	0.9364821335
16	0.9337539443
17	0.9311263814
18	0.9289688719
19	0.926223614
20	0.9245875868
21	0.9227322236
22	0.9205456337
23	0.9190698466
24	0.917618692
25	0.9160974641
26	0.9148115166
27	0.9134490828
28	0.9120534977
29	0.9108622998
30	0.9099123665
31	0.9087461194
32	0.9073491897
33	0.9063303575
34	0.9053557563
35	0.9047612597
36	0.9037173033
37	0.9031452307
38	0.9025677302
39	0.901689196
40	0.9010439122
41	0.9005857797
42	0.9000668178
43	0.8995289908
44	0.8991224669
45	0.8986506941
46	0.8982860966
47	0.8977880153
48	0.8976279235
49	0.8972267235
50	0.8965897144
51	0.8961591595
52	0.8958798682
53	0.8954467531
54	0.8950875592
55	0.8948474929
56	0.8944932519
57	0.8942405749
58	0.8936194481
59	0.8930613499
60	0.8927646432
61	0.8925870677
62	0.8922337224
63	0.8918086056
64	0.8913871383
65	0.8912559524
66	0.8907350999
67	0.8902227791
68	0.8899546014
69	0.8896607568
70	0.8893048977
71	0.8888173767
72	0.8885239363
73	0.8883218609
74	0.8881782124
75	0.8878786431
76	0.8873922046
77	0.8870699368
78	0.8865306997
79	0.8862070025
80	0.885962312
81	0.8857506079
82	0.8853882772
83	0.8850119065
84	0.8848451742
85	0.8845366392
86	0.8840640391
87	0.8838212025
88	0.883537198
89	0.8832670781
90	0.8828397339
91	0.8825973273
92	0.8821605141
93	0.882059607
94	0.8817989786
95	0.8813230424
96	0.8810304255
97	0.88067157
98	0.8802867133
99	0.8799400471
