iter	Passed	Remaining
0	176	17497
1	194	9552
2	215	6968
3	233	5608
4	251	4775
5	268	4204
6	285	3795
7	302	3480
8	320	3235
9	336	3030
10	352	2850
11	369	2711
12	386	2587
13	404	2483
14	422	2394
15	439	2305
16	456	2230
17	475	2165
18	488	2081
19	505	2023
20	521	1961
21	538	1909
22	556	1861
23	574	1817
24	591	1773
25	608	1732
26	625	1690
27	642	1650
28	655	1603
29	670	1565
30	688	1533
31	706	1501
32	723	1469
33	740	1438
34	757	1406
35	773	1375
36	790	1345
37	806	1315
38	821	1284
39	837	1256
40	853	1228
41	868	1199
42	885	1174
43	902	1148
44	919	1123
45	934	1096
46	949	1071
47	966	1047
48	980	1020
49	993	993
50	1004	965
51	1013	935
52	1024	908
53	1035	882
54	1047	856
55	1058	831
56	1071	808
57	1082	783
58	1094	760
59	1107	738
60	1119	715
61	1130	692
62	1140	669
63	1153	649
64	1167	628
65	1177	606
66	1192	587
67	1211	569
68	1226	550
69	1240	531
70	1253	512
71	1265	491
72	1275	471
73	1288	452
74	1302	434
75	1315	415
76	1328	396
77	1340	378
78	1354	360
79	1368	342
80	1381	324
81	1393	305
82	1407	288
83	1419	270
84	1431	252
85	1443	235
86	1458	217
87	1471	200
88	1487	183
89	1499	166
90	1512	149
91	1524	132
92	1537	115
93	1550	98
94	1564	82
95	1581	65
96	1596	49
97	1613	32
98	1628	16
99	1642	0
